Fuente,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_Enero2015,pm_Febrero2015,pm_Marzo2015,pm_Abril2015,pm_Mayo2015,pm_Junio2015,pm_Julio2015,pm_Agosto2015,pm_Septiembre2015,pm_Octubre2015,pm_Noviembre2015,pm_Diciembre2015,pm_16_enero2015,Reemplaza_enero2015,pm_16_febrero2015,Reemplaza_febrero2015,pm_16_marzo2015,Reemplaza_marzo2015,pm_16_Abril2015,Reemplaza_Abril2015,pm_16_mayo2015,Reemplaza_mayo2015,pm_16_Junio2015,Reemplaza_Junio2015,pm_16_Julio2015,Reemplaza_Julio2015,pm_16_Agosto2015,Reemplaza_Agosto2015,pm_16_Septiembre2015,Reemplaza_Septiembre2015,pm_16_Octubre2015,Reemplaza_Octubre2015,pm_16_Noviembre2015,Reemplaza_Noviembre2015,pm_16_Diciembre2015,Reemplaza_Diciembre2015,Estado_lev_Enero2015,Estado_lev_Febrero2015,Estado_lev_marzo2015,Estado_lev_Abril2015,Estado_lev_Mayo2015,Estado_lev_Junio2015,Estado_lev_Julio2015,Estado_lev_Agosto2015,Estado_lev_Septiembre2015,Estado_lev_octubre2015,Estado_lev_Noviembre2015,Estado_lev_Diciembre2015,Cantidad_Ene2015,Unidad_Ene2015,Cantidad_Feb2015,Unidad_Feb2015,Cantidad_Mar2015,Unidad_Mar2015,Cantidad_Abr2015,Unidad_Abr2015,Cantidad_May2015,Unidad_May2015,Cantidad_Jun2015,Unidad_Jun2015,Cantidad_Jul2015,Unidad_Jul2015,Cantidad_Ago2015,Unidad_Ago2015,Cantidad_Sep2015,Unidad_Sep2015,Cantidad_Oct2015,Unidad_Oct2015,Cantidad_Nov2015,Unidad_Nov2015,Cantidad_Dic2015,Unidad_Dic2015,Oferta_11Ene2015,Oferta_11Feb2015,Oferta_11Mar2015,Oferta_11Abr2015,Oferta_11May2015,Oferta_11Jun2015,Oferta_11Jul2015,Oferta_11Ago2015,Oferta_11Sep2015,Oferta_11Oct2015,Oferta_11Nov2015,Oferta_11Dic2015
925,5,3,1,1,6,4,REFRIGERADOR,"649990,00","649990,00","699990,00","699990,00","699990,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
908,5,3,1,1,6,4,REFRIGERADOR,"649990,00","649990,00","0,00","0,00","699990,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5338,5,3,1,1,6,4,REFRIGERADOR,"649990,00","649990,00","0,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5354,5,3,1,1,6,4,REFRIGERADOR,"649990,00","571991,20","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","0,00","649990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"649990,00",Si,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
916,5,1,1,1,5,5,MUEBLES PARA LIVING,"749990,00","799990,00","799990,00","799990,00","799990,00","799990,00","0,00","799990,00","0,00","649990,00","649990,00","649990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"519990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5340,5,1,1,1,5,4,MUEBLES PARA LIVING,"749990,00","0,00","749990,00","749990,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
903,5,1,1,1,5,5,MUEBLES PARA LIVING,"743990,00","743990,00","599990,00","599990,00","659990,00","659990,00","659990,00","659990,00","659990,00","659990,00","659990,00","749990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11426,5,1,1,1,5,2,MUEBLES PARA LIVING,"728000,00","728000,00","728000,00","728000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,0,0,0,0,0,0,0,0,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335,5,3,1,1,6,4,REFRIGERADOR,"723900,00","723900,00","723900,00","723900,00","723900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11360,5,1,1,1,5,6,MUEBLES PARA LIVING,"698000,00","748000,00","748000,00","748000,00","748000,00","748000,00","748000,00","748000,00","748000,00","748000,00","748000,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5353,5,1,1,1,5,4,MUEBLES PARA LIVING,"679990,00","419990,00","679990,00","679990,00","679990,00","679990,00","679990,00","679990,00","679990,00","419990,00","419990,00","419990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5330,5,1,1,1,5,4,MUEBLES PARA LIVING,"679990,00","679990,00","679990,00","679990,00","679990,00","679990,00","679990,00","679990,00","679990,00","419990,00","679990,00","679990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
903,5,1,1,1,5,4,MUEBLES PARA LIVING,"679990,00","679990,00","679990,00","420000,00","679990,00","679990,00","419990,00","419990,00","0,00","419990,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5340,5,1,1,1,5,5,MUEBLES PARA LIVING,"679990,00","749990,00","649990,00","749990,00","749990,00","749990,00","749990,00","749990,00","659990,00","659990,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,11.0,,,,,,,
6456,5,1,1,1,5,4,MUEBLES PARA LIVING,"630000,00","630000,00","630000,00","630000,00","590000,00","590000,00","590000,00","590000,00","590000,00","650000,00","650000,00","650000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
924,5,3,1,1,6,4,REFRIGERADOR,"619990,00","619990,00","619990,00","649990,00","649990,00","0,00","669990,00","699990,00","699990,00","699990,00","699990,00","699990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
921,5,3,1,1,6,4,REFRIGERADOR,"619990,00","619990,00","619990,00","649990,00","649990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11138,5,1,1,1,5,2,MUEBLES PARA LIVING,"640000,00","650000,00","650000,00","0,00","398000,00","398000,00","398000,00","398000,00","398000,00","398000,00","398000,00","398000,00","0,00",NO,"0,00",NO,"0,00",NO,"398000,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
899,5,1,1,1,5,2,MUEBLES PARA LIVING,"599990,00","0,00","619990,00","499990,00","499990,00","499990,00","499990,00","499990,00","0,00","349990,00","349990,00","349990,00","0,00",NO,"599990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"349990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
913,5,3,1,1,6,4,REFRIGERADOR,"599990,00","599990,00","579990,00","579990,00","579990,00","579990,00","579990,00","0,00","599990,00","599990,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"649990,00",Si,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
899,5,3,1,1,6,4,REFRIGERADOR,"599990,00","599990,00","599990,00","649990,00","649990,00","649990,00","649990,00","649990,00","649990,00","649990,00","0,00","699990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"699990,00",Si,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5359,5,1,1,1,5,5,MUEBLES PARA LIVING,"599990,00","599990,00","599990,00","660000,00","659990,00","659990,00","659990,00","659990,00","659990,00","659990,00","1359990,00","659990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11187,5,1,1,1,5,6,MUEBLES PARA LIVING,"598000,00","598000,00","598000,00","598000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,0,0,0,0,0,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,
23135,5,1,1,1,5,6,MUEBLES PARA LIVING,"598000,00","598000,00","598000,00","598000,00","598000,00","598000,00","598000,00","598000,00","598000,00","598000,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
22816,5,1,1,1,5,2,MUEBLES PARA LIVING,"598000,00","680000,00","680000,00","598000,00","598000,00","598000,00","598000,00","680000,00","680000,00","680000,00","680000,00","680000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
911,5,3,1,1,6,4,REFRIGERADOR,"619990,00","619990,00","619990,00","649990,00","649990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
900,5,1,1,1,5,5,MUEBLES PARA LIVING,"549990,00","0,00","0,00","299990,00","299990,00","299990,00","299990,00","299990,00","449990,00","449990,00","449990,00","449990,00","0,00",NO,"0,00",NO,"299990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
910,5,3,1,1,6,4,REFRIGERADOR,"549990,00","549990,00","549990,00","579990,00","599990,00","599990,00","599990,00","0,00","0,00","629990,00","629990,00","629990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"629990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
