Fuente,fuente_2014,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_Enero2012,pm_Febrero2012,pm_Marzo2012,pm_Abril2012,pm_Mayo2012,pm_Junio2012,pm_Julio2012,pm_Agosto2012,pm_Septiembre2012,pm_Octubre2012,pm_Noviembre2012,pm_Diciembre2012,pm_Enero2013,pm_Febrero2013,pm_Marzo2013,pm_Abril2013,pm_mayo2013,pm_junio2013,pm_julio2013,pm_Agosto2013,pm_septiembre2013,pm_Octubre2013,pm_Noviembre2013,pm_Diciembre2013,pm_16_Enero2012,Reemplaza_Enero2012,pm_16_Febrero2012,Reemplaza_Febrero2012,pm_16_Marzo2012,Reemplaza_Marzo2012,pm_16_Abril2012,Reemplaza_Abril2012,pm_16_Mayo2012,Reemplaza_Mayo2012,pm_16_junio2012,Reemplaza_Junio2012,pm_16_julio2012,Reemplaza_Julio2012,pm_16_Agosto2012,Reemplaza_Agosto2012,pm_16_septiembre2012,Reemplaza_Septiembre2012,pm_16_octubre2012,Reemplaza_Octubre2012,pm_16_Noviembre2012,Reemplaza_Noviembre2012,pm_16_Diciembre2012,Reemplaza_Diciembre2012,pm_16_Enero2013,Reemplaza_Enero2013,pm_16_Febrero2013,Reemplaza_Febrero2013,pm_16_Marzo2013,Reemplaza_Marzo2013,pm_16_Abril2013,Reemplaza_Abril2013,pm_16_mayo2013,Reemplaza_mayo2013,pm_16_junio2013,Reemplaza_junio2013,pm_16_julio2013,Reemplaza_julio2013,pm_16_Agosto2013,Reemplaza_Agosto2013,pm_16_Septiembre2013,Reemplaza_Septiembre2013,pm_16_Octubre2013,Reemplaza_octubre2013,pm_16_Noviembre2013,Reemplaza_noviembre2013,pm_16_Diciembre2013,Reemplaza_diciembre2013,estado_lev_Enero2012,estado_lev_Febrero2012,estado_lev_Marzo2012,estado_lev_Abril2012,estado_lev_Mayo2012,estado_lev_Junio2012,estado_lev_julio2012,estado_lev_agosto2012,Estado_lev_Septiembre2012,Estado_lev_Octubre2012,Estado_lev_Noviembre2012,Estado_lev_Diciembre2012,Estado_lev_Enero2013,Estado_lev_Febrero2013,Estado_lev_Marzo2013,Estado_lev_Abril2013,Estado_lev_mayo2013,Estado_lev_junio2013,Estado_lev_julio2013,Estado_lev_Agosto2013,Estado_lev_Septiembre2013,Estado_lev_Octubre2013,Estado_lev_Noviembre2013,Estado_lev_Diciembre2013,Cantidad_Ene2012,Unidad_Ene2012,Cantidad_Feb2012,Unidad_feb2012,Cantidad_mar2012,Unidad_mar2012,Cantidad_Abr2012,Unidad_Abr2012,Cantidad_May2012,Unidad_may2012,Cantidad_jun2012,Unidad_Jun2012,Cantidad_Jul2012,Unidad_Jul2012,Cantidad_Ago2012,Unidad_Ago2012,Cantidad_Sep2012,Unidad_Sep2012,Cantidad_Oct2012,Unidad_Oct2012,Cantidad_nov2012,Unidad_Nov2012,Cantidad_dic2012,Unidad_dic2012,cantidad_Ene2013,Unidad_Ene2013,Cantidad_feb2013,Unidad_Feb2013,Cantidad_Mar2013,Unidad_Mar2013,Cantidad_Abr2013,Unidad_Abr2013,Cantidad_may2013,Unidad_may2013,Cantidad_jun2013,Unidad_jun2013,Cantidad_jul2013,Unidad_jul2013,Cantidad_Ago2013,Unidad_Ago2013,Cantidad_Sep2013,Unidad_Sep2013,Cantidad_Oct2013,Unidad_Oct2013,Cantidad_Nov2013,Unidad_Nov2013,Cantidad_Dic2013,Unidad_Dic2013,Oferta_11Ene2012,Oferta_11Feb2012,Oferta_11Mar2012,Oferta_11Abr2012,Oferta_11May2012,Oferta_11Jun2012,Oferta_11Jul2012,Oferta_11Ago2012,Oferta_11Sep2012,Oferta_11Oct2012,Oferta_11Nov2012,Oferta_11Dic2012,Oferta_11Ene2013,Oferta_11Feb2013,Oferta_11Mar2013,Oferta_11Abr2013,Oferta_11may2013,Oferta_11jun2013,Oferta_11jul2013,Oferta_11Ago2013,Oferta_11Sep2013,Oferta_11oct2013,Oferta_11Nov2013,Oferta_11Dic2013
8478,8478.0,9,5,1,1,1,12,PAQUETES TURÍSTICOS,"997204,00","946235,00","955990,00","907854,00","812292,00","837058,00","817245,00","813943,00","789925,00","820624,00","903228,00","892182,00","881076,00","867272,00","861175,00","781116,00","797526,00","933864,00","943184,00","858520,00","837057,00","830453,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,
8478,8478.0,9,5,1,1,1,14,PAQUETES TURÍSTICOS,"1316228,00","1256635,00","1269590,00","1290318,00","1274772,00","1313637,00","1282545,00","1264052,00","1181325,00","1199044,00","1181936,00","1167404,00","1202852,00","1164772,00","1156150,00","965804,00","986094,00","1301097,00","1076768,00","1055080,00","1028703,00","1128732,00","1099220,00","1107516,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,11.0,
8478,8478.0,9,5,1,1,1,13,PAQUETES TURÍSTICOS,"1196848,00","1142660,00","1155420,00","973092,00","1003188,00","963807,00","940995,00","944588,00","910100,00","912016,00","953552,00","941828,00","1370404,00","1364216,00","1363725,00","1152872,00","1177092,00","1213422,00","1225532,00","1193920,00","1164072,00","1218266,00","1283660,00","1293348,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,
8483,8483.0,9,5,1,1,1,13,PAQUETES TURÍSTICOS,"2203704,00","2103930,00","0,00","0,00","809340,00","805116,00","603405,00","0,00","778525,00","780164,00","799832,00","781803,00","914375,00","0,00","867894,00","823594,00","829794,00","903210,00","901425,00","0,00","0,00","1251988,00","1552950,00","1767540,00","0,00",NO,"0,00",NO,"0,00",NO,"819210,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"1325880,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,
8478,8478.0,9,5,1,1,1,9,PAQUETES TURÍSTICOS,"696094,00","696094,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","685000,00","685000,00","577000,00","0,00","0,00","0,00","0,00","0,00","0,00","675000,00","685000,00","685000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"675000,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,
8372,8372.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,
8367,8367.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","650000,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985,3985.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"595000,00","595000,00","595000,00","595000,00","595000,00","595000,00","595000,00","595000,00","595000,00","595000,00","595000,00","630700,00","630700,00","630700,00","630700,00","630700,00","630700,00","630700,00","700000,00","650000,00","650000,00","650000,00","650000,00","650000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,
8482,8482.0,9,5,1,1,1,13,PAQUETES TURÍSTICOS,"811784,00","623710,00","630140,00","656364,00","648456,00","703716,00","662310,00","659634,00","635550,00","0,00","0,00","0,00","1013176,00","0,00","0,00","0,00","0,00","691736,00","675681,00","0,00","677791,00","722359,00","760705,00","987948,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"1015092,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"645689,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,
3981,3981.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,
8373,8373.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8486,8486.0,9,5,1,1,1,10,PAQUETES TURÍSTICOS,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8486,8486.0,9,5,1,1,1,4,PAQUETES TURÍSTICOS,"711800,00","711800,00","598500,00","598500,00","598500,00","598500,00","598500,00","598500,00","598500,00","598500,00","598500,00","598500,00","0,00","0,00","545769,00","545769,00","545769,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,GRL,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,8366.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"500000,00","500000,00","450000,00","450000,00","450000,00","450000,00","450000,00","450000,00","450000,00","450000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8362,8362.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"487900,00","511700,00","511700,00","535500,00","583100,00","583100,00","583100,00","583100,00","583100,00","583100,00","583100,00","0,00","654500,00","690000,00","690000,00","690000,00","690000,00","690000,00","690000,00","690000,00","690000,00","750000,00","750000,00","750000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"654500,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,
3971,3971.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3956,3956.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","500000,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,
8483,8483.0,9,5,1,1,1,11,PAQUETES TURÍSTICOS,"0,00","0,00","0,00","0,00","447228,00","460863,00","449955,00","408204,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","692622,00","739473,00","813648,00","804707,00","965640,00","847344,00","837336,00","875700,00","912072,00","0,00",NO,"0,00",NO,"0,00",NO,"452682,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"673080,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,S/Est,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,,,,,,,,,,,,,
8377,8377.0,11,2,1,1,2,4,SERVICIO DE ALOJAMIENTO TURÍSTICO Y OTROS,"450000,00","450000,00","450000,00","465000,00","460000,00","460000,00","460000,00","460000,00","460000,00","460000,00","460000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","480000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,1.0,TARIFA,,,,,,,,,,,,,,,,,,,,,,,,
